STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,SEX,,AGE,,TIME_HORIZ,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2054,,2892083,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2055,,2898803,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2056,,2906875,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2057,,2916094,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2058,,2926132,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2059,,2936928,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2060,,2948389,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2061,,2960036,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2062,,2971442,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2063,,2982343,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2064,,2992748,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2065,,3002843,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2066,,3012525,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2067,,3021786,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2068,,3030525,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2069,,3039104,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,BEL,,POP,,PS,,F,,Y_GE50,,P,,2070,,3046891,,A,,0,,,
DATAFLOW,OECD.ELS.SAE:DSD_POPULATION@DF_POP_PROJ(1.0),,I,CAN,,POP,,PS,,F,,Y_GE50,,P,,2024,,8078299,,A,,0,,,
